Method,Approach,Solver,Objective,Time,Status,User_time,NT
MINLP,bigm,scip,2.9344051030947074,606.9669998483732,optimal,NA,8
MINLP,hull,scip,2.934382325946952,626.1680002324283,optimal,NA,8
MINLP,bigm,dicopt,2.9344051025591735,3.141999780200422,optimal,NA,8
MINLP,hull,dicopt,2.934405103098774,3.91599980648607,optimal,NA,8
MINLP,bigm,sbb,2.934405102094375,10.316000296734273,optimal,NA,8
MINLP,hull,sbb,2.934405101868782,3.223000396974385,optimal,NA,8
GDPopt,LOA,msnlp,4.06188168455662,4.200679200235754,optimal,NA,8
GDPopt,GLOA,msnlp,2.9344051204253385,98.88810590002686,optimal,NA,8
GDPopt,LBB,msnlp,2.9343531719696005,684.4181901998818,optimal,NA,8
GDPopt,LOA,knitro,9.894736842105251,16.720585400238633,optimal,NA,8
GDPopt,GLOA,knitro,9.894736842105251,16.55126419989392,optimal,NA,8
GDPopt,LBB,knitro,2.9344051028664753,636.2350697000511,optimal,NA,8
GDPopt,LOA,baron,4.061881684211091,2.9206057996489108,optimal,NA,8
GDPopt,GLOA,baron,2.934402293818456,83.92529209982604,optimal,NA,8
GDPopt,LBB,baron,2.934405060225192,695.257928499952,optimal,NA,8
MINLP,bigm,antigone,nan,0.0509998993948102,infeasible,NA,9
MINLP,hull,antigone,2.909533261780611,900.2240002853796,optimal,NA,9
MINLP,bigm,baron,2.909533051320043,900.372999929823,optimal,NA,9
MINLP,hull,baron,2.909533261831177,900.4320005653426,optimal,NA,9
MINLP,bigm,scip,2.9095328798961955,901.5539996093139,optimal,NA,9
MINLP,hull,scip,2.909533257640338,901.1550000635907,optimal,NA,9
MINLP,bigm,dicopt,2.9095332489585424,7.28399979416281,optimal,NA,9
MINLP,hull,dicopt,2.9660470622428146,7.184000336565077,optimal,NA,9
MINLP,bigm,sbb,2.909533255110776,15.597999910824,optimal,NA,9
MINLP,hull,sbb,2.9095332350329763,4.916000040248036,optimal,NA,9
GDPopt,LOA,msnlp,3.314845403108307,4.368065999820828,optimal,NA,9
GDPopt,GLOA,msnlp,2.909533261913156,144.94619459984824,optimal,NA,9
GDPopt,LBB,msnlp,9.894736842104992,900.0892038997263,maxTimeLimit,NA,9
GDPopt,LOA,knitro,3.3148454061205577,24.4060343997553,optimal,NA,9
GDPopt,GLOA,knitro,3.3148454061205577,25.745152600109577,optimal,NA,9
GDPopt,LBB,knitro,9.894736842104992,900.0844860998914,maxTimeLimit,NA,9
GDPopt,LOA,baron,3.1343362586206958,5.403986500110477,optimal,NA,9
GDPopt,GLOA,baron,2.909533238270211,132.16477110004053,optimal,NA,9
GDPopt,LBB,baron,9.894736842104992,900.0886214999482,maxTimeLimit,NA,9
MINLP,bigm,antigone,nan,0.06799965631216764,infeasible,NA,13
MINLP,hull,antigone,2.8478946318381166,899.851000146009,optimal,NA,13
MINLP,bigm,baron,2.8478945019808717,900.4030000185594,optimal,NA,13
MINLP,hull,baron,2.847894631899929,900.3319998504594,optimal,NA,13
MINLP,bigm,scip,2.8478943018284086,900.9100003866479,optimal,NA,13
MINLP,hull,scip,2.8478946302679953,900.8490000385791,optimal,NA,13
MINLP,bigm,dicopt,2.8478946311063416,47.6370002143085,optimal,NA,13
MINLP,hull,dicopt,3.2871515330482937,1.0270004393532872,optimal,NA,13
MINLP,bigm,sbb,2.847894334910385,78.37899990845472,optimal,NA,13
MINLP,hull,sbb,2.859465607608121,15.836999821476638,optimal,NA,13
GDPopt,LOA,msnlp,3.1301981329950856,5.978567600250244,optimal,NA,13
GDPopt,GLOA,msnlp,2.847894631477424,518.8800532999448,optimal,NA,13
GDPopt,LBB,msnlp,9.894736842105251,900.1334688002244,maxTimeLimit,NA,13
GDPopt,LOA,knitro,9.894736843435368,78.08119289996102,optimal,NA,13
GDPopt,GLOA,knitro,9.894736843435368,77.55200710007921,optimal,NA,13
GDPopt,LBB,knitro,9.894736842105251,900.1333512999117,maxTimeLimit,NA,13
GDPopt,LOA,baron,3.1301981325038386,4.771715000271797,optimal,NA,13
GDPopt,GLOA,baron,2.8478819937911948,546.8730457001366,optimal,NA,13
GDPopt,LBB,baron,9.894736842105251,900.2234630999155,maxTimeLimit,NA,13
MINLP,bigm,antigone,nan,0.08599958382546902,infeasible,NA,16
MINLP,hull,antigone,2.909533261914526,899.3089994648471,optimal,NA,16
MINLP,bigm,baron,2.821886409314408,900.1399997854605,optimal,NA,16
MINLP,hull,baron,2.821886409137273,900.3539998317137,optimal,NA,16
MINLP,bigm,scip,2.821886068426946,902.8859999030828,optimal,NA,16
MINLP,hull,scip,2.8218864011059615,900.8970000548288,optimal,NA,16
MINLP,bigm,dicopt,2.8218864001448094,75.85300023201853,optimal,NA,16
MINLP,hull,dicopt,3.3561744970520917,2.3090003756806254,optimal,NA,16
MINLP,bigm,sbb,2.8218863841399937,80.96399959176779,optimal,NA,16
MINLP,hull,sbb,2.8218864094425484,22.42700003553182,optimal,NA,16
GDPopt,LOA,msnlp,3.356175244134042,7.560107099823654,optimal,NA,16
GDPopt,GLOA,msnlp,2.8218864094427354,902.5345877003856,maxTimeLimit,NA,16
GDPopt,LBB,msnlp,9.894736842105251,900.1405151002109,maxTimeLimit,NA,16
GDPopt,LOA,knitro,9.89473684216847,167.9424156001769,optimal,NA,16
GDPopt,GLOA,knitro,9.89473684216847,167.96441909996793,optimal,NA,16
GDPopt,LBB,knitro,9.894736842105251,900.1509063998237,maxTimeLimit,NA,16
GDPopt,LOA,baron,3.3561475905342784,5.249783100094646,optimal,NA,16
GDPopt,GLOA,baron,2.8218774780638967,900.277508799918,maxTimeLimit,NA,16
GDPopt,LBB,baron,9.894736842105251,900.1312708002515,maxTimeLimit,NA,16
MINLP,bigm,antigone,nan,0.10299996938556433,infeasible,NA,19
MINLP,hull,antigone,3.0072779742879883,899.3249996798113,optimal,NA,19
MINLP,bigm,baron,2.80413278465474,900.36699953489,optimal,NA,19
MINLP,hull,baron,2.804132779852925,900.2109999535605,optimal,NA,19
MINLP,bigm,scip,2.8041324883340883,901.9520002417266,optimal,NA,19
MINLP,hull,scip,2.809386706637609,901.9339996855706,optimal,NA,19
MINLP,bigm,dicopt,2.8041328274774306,506.65600011125207,optimal,NA,19
MINLP,hull,dicopt,2.804132817274137,536.1520003527403,optimal,NA,19
MINLP,bigm,sbb,2.804132693918368,170.59300008695573,optimal,NA,19
MINLP,hull,sbb,2.8041329127555614,39.76199955213815,optimal,NA,19
GDPopt,LOA,msnlp,3.4799018309600998,9.314084900077432,optimal,NA,19
GDPopt,GLOA,msnlp,2.8041328263929297,900.3051181999035,maxTimeLimit,NA,19
GDPopt,LBB,msnlp,9.894736842105251,900.234600099735,maxTimeLimit,NA,19
GDPopt,LOA,knitro,3.5619584843903955,242.13927950011566,optimal,NA,19
GDPopt,GLOA,knitro,3.5619584843903955,333.4134936998598,optimal,NA,19
GDPopt,LBB,knitro,9.894736842105251,900.2356900000013,maxTimeLimit,NA,19
GDPopt,LOA,baron,3.4798700873221406,5.7284011002629995,optimal,NA,19
GDPopt,GLOA,baron,2.8041292895008603,900.3008098998107,maxTimeLimit,NA,19
GDPopt,LBB,baron,9.894736842105251,900.2900755996816,maxTimeLimit,NA,19
MINLP,bigm,antigone,nan,0.12400040868669748,infeasible,NA,22
MINLP,hull,antigone,2.8594656076335565,899.5889994548634,optimal,NA,22
MINLP,bigm,baron,2.7912515007785332,900.3320004791021,optimal,NA,22
MINLP,hull,baron,2.791251699020262,900.2850000048056,optimal,NA,22
MINLP,bigm,scip,2.791251443793666,900.8940001716837,optimal,NA,22
MINLP,hull,scip,2.7994045759578805,901.1610004585236,optimal,NA,22
MINLP,bigm,dicopt,2.7912511741861237,903.044000454247,optimal,NA,22
MINLP,hull,dicopt,2.809388537624918,902.309000166133,optimal,NA,22
MINLP,bigm,sbb,2.791251699030236,242.61000033002347,optimal,NA,22
MINLP,hull,sbb,2.7912516975644714,72.16700005810708,optimal,NA,22
GDPopt,LOA,msnlp,3.4631046475116682,10.831253999844193,optimal,NA,22
GDPopt,GLOA,msnlp,2.791251711403149,905.153492399957,maxTimeLimit,NA,22
GDPopt,LBB,msnlp,9.894736842105196,900.2962962002493,maxTimeLimit,NA,22
GDPopt,LOA,knitro,9.89473686952557,602.650725199841,optimal,NA,22
GDPopt,GLOA,knitro,9.89473686952557,606.129319800064,optimal,NA,22
GDPopt,LBB,knitro,9.894736842105196,900.3648178996518,maxTimeLimit,NA,22
GDPopt,LOA,baron,2.7912485732363024,21.172710500191897,optimal,NA,22
GDPopt,GLOA,baron,2.7912485732363024,900.3170484998263,maxTimeLimit,NA,22
GDPopt,LBB,baron,9.894736842105196,900.3843902000226,maxTimeLimit,NA,22
MINLP,bigm,antigone,nan,0.062000518664717674,infeasible,NA,11
MINLP,hull,antigone,2.873140226062233,900.1299999654293,optimal,NA,11
MINLP,bigm,baron,2.8731400195802923,900.3460003528744,optimal,NA,11
MINLP,hull,baron,2.873135376046407,900.4990000510588,optimal,NA,11
MINLP,bigm,scip,2.8731398631927094,901.556999492459,optimal,NA,11
MINLP,hull,scip,2.873140220660444,900.5590002285317,optimal,NA,11
MINLP,bigm,dicopt,2.8731401977150224,11.280000046826899,optimal,NA,11
MINLP,hull,dicopt,2.8731402177162026,19.499999843537807,optimal,NA,11
MINLP,bigm,sbb,2.8731402234602283,12.074999883770943,optimal,NA,11
MINLP,hull,sbb,2.873140223671946,9.633000078611076,optimal,NA,11
GDPopt,LOA,msnlp,3.314845403043652,5.270142600405961,optimal,NA,11
GDPopt,GLOA,msnlp,2.8731402052734922,313.1929762000218,optimal,NA,11
GDPopt,LBB,msnlp,9.894736842105207,900.1180539997295,maxTimeLimit,NA,11
GDPopt,LOA,knitro,9.894736850784966,44.02758590038866,optimal,NA,11
GDPopt,GLOA,knitro,9.894736850784966,43.72202740004286,optimal,NA,11
GDPopt,LBB,knitro,9.894736842105207,900.1113052000292,maxTimeLimit,NA,11
GDPopt,LOA,baron,3.3148454021110627,2.807023299857974,optimal,NA,11
