Method,Approach,Solver,Objective,Time,Status,User_time,NT
GDPopt,LBB,knitro,9.894736842,987.6170215,maxTimeLimit,NA,20
GDPopt,LBB,knitro,9.894736842,901.8531982,maxTimeLimit,NA,25
MINLP,bigm,knitro,2.784465563,228.06,optimal,NA,25
GDPopt,LOA,baron,3.575657436,28.4432852,optimal,NA,25
GDPopt,GLOA,baron,2.781482499,901.1586725,maxTimeLimit,NA,25
GDPopt,LBB,baron,9.894736842,908.1758434,maxTimeLimit,NA,25
D-SDA_MIP_bigm,k=Infinity,baron,2.889536761,905.91,maxTimeLimit,884.2480006,25
D-SDA_MIP_hull,k=Infinity,baron,2.934360414,901.83,maxTimeLimit,876.7299986,25
D-SDA_MIP_bigm,k=2,baron,3.130197698,157.43,optimal,145.1069987,25
D-SDA_MIP_hull,k=2,baron,3.130198133,897.56,optimal,878.8410004,25
D-SDA,k=Infinity,knitro,3.062014577,1.94,optimal,0.173999509,5
D-SDA,k=2,knitro,3.130198133,1.6,optimal,0.153000327,5
D-SDA,k=Infinity,baron,3.062014482,6.45,optimal,4.692999716,5
D-SDA,k=2,baron,3.130198133,8.07,optimal,6.576999882,5
D-SDA,k=Infinity,knitro,2.889536946,4.31,optimal,0.377000822,10
D-SDA,k=2,knitro,3.130186274,3.45,optimal,0.307000824,10
D-SDA,k=Infinity,baron,2.889535932,32.88,optimal,29.15600007,10
D-SDA,k=2,baron,3.130198133,16.92,optimal,13.41699937,10
D-SDA,k=Infinity,knitro,2.829394041,7.23,optimal,0.571000599,15
D-SDA,k=2,knitro,3.130198133,2.9,optimal,0.218999642,15
D-SDA,k=Infinity,baron,2.829393875,58.54,optimal,52.02299973,15
D-SDA,k=2,baron,3.13016532,21.01,optimal,17.13999957,15
D-SDA,k=Infinity,knitro,2.799406357,11.36,optimal,0.854999386,20
D-SDA,k=2,knitro,3.130198133,3.5,optimal,0.214001304,20
D-SDA,k=Infinity,baron,2.799399265,322.36,optimal,311.6920022,20
D-SDA,k=2,baron,3.130198113,17.31,optimal,12.95899982,20
D-SDA,k=Infinity,knitro,2.781482593,20.49,optimal,0.791999954,25
D-SDA,k=2,knitro,3.130198077,4.91,optimal,0.19599949,25
D-SDA,k=Infinity,baron,2.787705425,901.37,maxTimeLimit,884.6130007,25
D-SDA,k=2,baron,3.130198133,17.72,optimal,12.56999946,25
